"","year....c..intercept...as.character.1990.2019....2021..","estimate....as.data.frame.g2F_summary.p.coeff...g2F_summary.p.coeff.","std_error....as.data.frame.g2F_summary.se...g2F_summary.se..1.32.","z_val....as.data.frame.g2F_summary.p.t...g2F_summary.p.t.","p_value....as.data.frame.g2F_summary.p.pv...g2F_summary.p.pv."
"1","intercept",-4.29756283841767,0.280864080040751,-15.3012191441288,7.50377264977553e-53
"2","1990",-0.616739129511462,0.370523869015333,-1.66450580134134,0.0960113926942415
"3","1991",-0.463176137778924,0.386354194928853,-1.1988381227858,0.23059089576501
"4","1992",-0.593946445506133,0.381228169472287,-1.55798152672794,0.11923762732253
"5","1993",-0.408096431051456,0.336928506755916,-1.21122559495121,0.225808955869085
"6","1994",-0.0618681639504471,0.383915990079134,-0.161150266071738,0.871975050966834
"7","1995",-0.209783604124152,0.37414610114175,-0.560699693205335,0.575002276383699
"8","1996",0.554249040919717,0.300340418393864,1.84540277290577,0.0649789700844721
"9","1997",0.778928255889465,0.321349577359505,2.42392805458104,0.0153536468794867
"10","1998",-0.0490360898523151,0.323334496854987,-0.151657464110016,0.879457107734713
"11","1999",-0.961514543452127,0.525743245293751,-1.82886713630509,0.0674195144878969
"12","2000",-0.549629749688604,0.400923855181813,-1.37090807290415,0.170403614447679
"13","2001",-0.288391993567414,0.367959593322617,-0.78375995299723,0.433180976363625
"14","2002",-1.11724345474137,0.43711652512691,-2.55593964199134,0.0105901486619589
"15","2003",0.288192775802552,0.361716706315231,0.796736149508661,0.42560428458899
"16","2004",-1.97963189715935,0.496300825992032,-3.98877413351541,6.64156212532992e-05
"17","2005",0.270805175356857,0.343971947353692,0.787288549081592,0.431112971401294
"18","2006",-1.63295337566201,0.589445053507769,-2.77032331672707,0.00560006734597933
"19","2007",-0.476219368971853,0.385904251184559,-1.23403504239735,0.217189846677422
"20","2008",-0.986349232788208,0.441925747725119,-2.2319342963509,0.0256193057552678
"21","2009",0.144798784229735,0.372198026613481,0.389036947743157,0.69724881473124
"22","2010",0.818586658077611,0.323524264873613,2.53021719529259,0.0113991938253179
"23","2011",0.74091277693885,0.3172278859174,2.33558526797285,0.0195128671322051
"24","2012",0.0226448737198194,0.358337239116706,0.0631943076182609,0.94961177758398
"25","2013",-0.193840193161287,0.359014726060329,-0.539922680298951,0.58925035599411
"26","2014",0.582304646663865,0.310761974235033,1.87379632948097,0.0609585025166242
"27","2015",1.29638530908718,0.32244165809569,4.02052674193374,5.80681568143644e-05
"28","2016",1.82942028436865,0.319719837773992,5.72194799392415,1.05309546879889e-08
"29","2017",1.26983815191122,0.32297967180862,3.93163490692893,8.43701287182766e-05
"30","2018",2.1199628695662,0.329986752014865,6.42438781745609,1.32401259926959e-10
"31","2019",1.33076466473552,0.311091258644201,4.27773081935912,1.8880813977562e-05
"32","2021",-1.09009438620906,0.485698707393381,-2.24438395576408,0.0248077079139793
